Thousands of demonstrators have marched through London to protest the war in Iraq and demand the withdrawal of British troops from that country . 	 O O O O O O B-geo O O O O O B-geo O O O O O B-gpe O O O O O
Families of soldiers killed in the conflict joined the protesters who carried banners with such slogans as """" Bush Number One Terrorist """" and """" Stop the Bombings . """" 	 O O O O O O O O O O O O O O O O O O B-per O O O O O O O O O O O
They marched from the Houses of Parliament to a rally in Hyde Park . 	 O O O O O O O O O O O B-geo I-geo O
The protest comes on the eve of the annual conference of Britain 's ruling Labor Party in the southern English seaside resort of Brighton . 	 O O O O O O O O O O O B-geo O O B-org I-org O O O B-gpe O O O B-geo O
The party is divided over Britain 's participation in the Iraq conflict and the continued deployment of 8500 British troops in that country . 	 O O O O O B-gpe O O O O B-geo O O O O O O O B-gpe O O O O O
The International Atomic Energy Agency is to hold second day of talks in Vienna Wednesday on how to respond to Iran 's resumption of low-level uranium conversion . 	 O B-org I-org I-org I-org O O O O O O O O B-geo B-tim O O O O O B-gpe O O O O O O O
Iran this week restarted parts of the conversion process at its Isfahan nuclear plant . 	 B-gpe O O O O O O O O O O B-geo O O O
The step will allow the facility to operate at full capacity . 	 O O O O O O O O O O O O
Iran 's new President Mahmoud Ahmadinejad said Tuesday that European incentives aimed at persuading Iran to end its nuclear fuel program are an insult to the Iranian nation . 	 B-gpe O O B-per I-per I-per O B-tim O B-gpe O O O O B-gpe O O O O O O O O O O O B-gpe O O
Two Germans and four Nigerian oil workers were kidnapped by armed militants during a raid on a boat in Nigeria 's southern oil-rich Delta region . 	 O B-gpe O O B-gpe O O O O O O O O O O O O O O B-geo O O O B-geo O O
The German firm works as a sub-contractor for Shell . 	 O B-gpe O O O O O O B-org O
Militant groups frequently attack oil operations in the Niger Delta to demand social services and better job opportunities from multinational companies . 	 O O O O O O O O B-geo I-geo O O O O O O O O O O O O
Poor residents often complain they have been cheated out of the huge riches extracted from their tribal lands - where the bulk of Nigeria 's 2.3 million barrels of petroleum are pumped daily . 	 O O O O O O O O O O O O O O O O O O O O O O O B-gpe O O O O O O O O O O
Suspected Islamist rebels have fired mortar shells at the palace used by Somalia 's interim President Abdullahi Yusuf Ahmad . 	 O O O O O O O O O O O O B-geo O O B-per I-per I-per I-per O
It was not immediately clear if the president was in the palace in Mogadishu when the attack occurred or if anyone was hurt . 	 O O O O O O O O O O O O O B-geo O O O O O O O O O O
Local news reports said at least five mortar shells hit the palace compound and other mortars were fired elsewhere in Mogadishu Wednesday . 	 O O O O O O O O O O O O O O O O O O O O B-geo B-tim O
Iraqi military officials say tanks and troops have arrived in the northern city Mosul for a new offensive against al Qaida in Iraq fighters . 	 B-gpe O O O O O O O O O O O O B-geo O O O O O B-org I-org I-org I-org O O
U.S. commanders have not explained how American forces will participate in the offensive . 	 B-gpe O O O O O B-gpe O O O O O O O
Officials say al Qaida in Iraq fighters have fled successful campaigns against them in Anbar province and Baghdad to other northern provinces . 	 O O B-org I-org I-org I-org O O O O O O O O B-geo O O B-geo O O O O O
Mosul is the largest city north of Baghdad and has long been a stronghold of Sunni militant fighters . 	 B-geo O O O O O O B-geo O O O O O O O B-org O O O
Egyptian police have arrested at least 16 members of the opposition Muslim Brotherhood as parts of the country prepare for parliamentary runoff elections Saturday . 	 B-gpe O O O O O O O O O O B-org I-org O O O O O O O O O O B-tim O
The arrests occurred Friday in Alexandria . 	 O O O B-tim O B-geo O
